Time (s),Current (A)
0,5.315683936172506e-16
1e-06,5.315683936172506e-16
2e-06,1.6770482228789997e-09
3e-06,1.8622060235044474e-09
4e-06,2.1286059177500003e-09
4.9999999999999996e-06,2.1392205859688738e-09
5.999999999999999e-06,2.1549300017536855e-09
6.999999999999999e-06,2.158353096238644e-09
8e-06,2.159483813773781e-09
9e-06,2.161744686165961e-09
1e-05,2.162302238603585e-09
1.1000000000000001e-05,2.162685889861892e-09
1.2000000000000002e-05,2.162712564075632e-09
1.3000000000000003e-05,2.163104111646071e-09
1.4000000000000003e-05,2.166011409686009e-09
1.5000000000000004e-05,2.167258758059371e-09
1.6000000000000003e-05,2.167258758059371e-09
1.7000000000000003e-05,2.1678136904553897e-09
1.8000000000000004e-05,2.167831031969962e-09
1.9000000000000004e-05,2.1698876089883707e-09
2.0000000000000005e-05,2.1698876089883678e-09
2.1000000000000006e-05,2.1698876089883707e-09
2.2000000000000006e-05,2.1698876089883707e-09
2.3000000000000007e-05,2.1698876089883707e-09
2.4000000000000007e-05,2.1698876089883707e-09
2.5000000000000008e-05,2.1719088032584913e-09
2.600000000000001e-05,2.1717128709091516e-09
2.700000000000001e-05,2.1717128709091516e-09
2.800000000000001e-05,2.1717128709091516e-09
2.900000000000001e-05,2.1717128709091512e-09
3.000000000000001e-05,2.1717128709091516e-09
3.100000000000001e-05,2.171712870909153e-09
3.2000000000000005e-05,2.1717128709091516e-09
3.3e-05,2.1717128709091516e-09
3.4e-05,2.171783317675294e-09
3.5e-05,2.1717833176752925e-09
3.5999999999999994e-05,2.1717833176752925e-09
3.699999999999999e-05,2.1717833176752937e-09
3.799999999999999e-05,2.1717833176752925e-09
3.8999999999999986e-05,2.1717833176752925e-09
3.999999999999998e-05,2.1717833176752925e-09
4.099999999999998e-05,2.1717833176752937e-09
4.199999999999998e-05,2.172960431896565e-09
4.2999999999999975e-05,2.1729604318965655e-09
4.399999999999997e-05,2.172960431896564e-09
4.499999999999997e-05,2.1748077023484356e-09
4.5999999999999966e-05,2.174807702348435e-09
4.699999999999996e-05,2.174807702348435e-09
4.799999999999996e-05,2.1748077023484335e-09
4.899999999999996e-05,2.1748077023484348e-09
4.9999999999999955e-05,2.1748077023484335e-09
5.099999999999995e-05,2.174807702348434e-09
5.199999999999995e-05,2.174807702348433e-09
5.2999999999999947e-05,2.1861477762257275e-09
5.3999999999999944e-05,2.186147776225726e-09
5.499999999999994e-05,2.1861477762257217e-09
5.599999999999994e-05,2.186147776225726e-09
5.6999999999999935e-05,2.1941938022941534e-09
5.799999999999993e-05,2.1941938022941534e-09
5.899999999999993e-05,2.1941938022941526e-09
5.999999999999993e-05,2.1941938022941534e-09
6.0999999999999924e-05,2.1941938022941534e-09
6.199999999999992e-05,2.1941938022941534e-09
6.299999999999992e-05,2.1941938022941534e-09
6.399999999999992e-05,2.1941938022941534e-09
6.499999999999991e-05,2.1941592985421144e-09
6.599999999999991e-05,2.1941592985421144e-09
6.699999999999991e-05,2.1941592985421144e-09
6.79999999999999e-05,2.194159298542113e-09
6.89999999999999e-05,2.194159298542113e-09
6.99999999999999e-05,2.1941592985421144e-09
7.09999999999999e-05,2.1941592985421152e-09
7.19999999999999e-05,2.1941592985421152e-09
7.299999999999989e-05,2.1941592985421144e-09
7.399999999999989e-05,2.1941592985421136e-09
7.499999999999989e-05,2.194159298542115e-09
7.599999999999988e-05,2.1941592985421144e-09
7.699999999999988e-05,2.1941592985421144e-09
7.799999999999988e-05,2.1941592985421152e-09
7.899999999999987e-05,2.1941592985421144e-09
7.999999999999987e-05,2.1943306044619764e-09
8.099999999999987e-05,2.1943306044619777e-09
8.199999999999987e-05,2.1943306044619756e-09
8.299999999999986e-05,2.1943306044619764e-09
8.399999999999986e-05,2.194330604461977e-09
8.499999999999986e-05,2.1943306044619756e-09
8.599999999999985e-05,2.1943306044619756e-09
8.699999999999985e-05,2.1943306044619764e-09
8.799999999999985e-05,2.194330604461977e-09
8.899999999999985e-05,2.194330604461977e-09
8.999999999999984e-05,2.1943306044619764e-09
9.099999999999984e-05,2.194330604461977e-09
9.199999999999984e-05,2.194330604461977e-09
9.299999999999983e-05,2.194330604461977e-09
9.399999999999983e-05,2.1943306044619764e-09
9.499999999999983e-05,2.1943306044619777e-09
9.599999999999983e-05,2.1943306044619772e-09
9.699999999999982e-05,2.194330604461977e-09
9.799999999999982e-05,2.1943306044619777e-09
9.899999999999982e-05,2.1943306044619777e-09
9.999999999999982e-05,2.194330604461977e-09
0.00010099999999999981,2.1943306044619777e-09
0.00010199999999999981,2.1943306044619777e-09
0.0001029999999999998,2.1943306044619756e-09
0.0001039999999999998,2.1943306044619772e-09
0.0001049999999999998,2.194330604461975e-09
0.0001059999999999998,2.194330604461977e-09
0.0001069999999999998,2.1943413757623848e-09
0.00010799999999999979,2.1943413757623835e-09
0.00010899999999999979,2.194341375762386e-09
0.00010999999999999979,2.19434137576238e-09
0.00011099999999999978,2.19434137576238e-09
0.00011199999999999978,2.1943413757623802e-09
0.00011299999999999978,2.1943413757623806e-09
0.00011399999999999978,2.1943413757623806e-09
0.00011499999999999977,2.194341375762382e-09
0.00011599999999999977,2.1943413757623823e-09
0.00011699999999999977,2.194341375762382e-09
0.00011799999999999976,2.1943413757623823e-09
0.00011899999999999976,2.1943413757623823e-09
0.00011999999999999976,2.1943413757623815e-09
0.00012099999999999976,2.1943413757623806e-09
0.00012199999999999975,2.1943413757623815e-09
0.00012299999999999976,2.1943778576268275e-09
0.00012399999999999976,2.1943778576268283e-09
0.00012499999999999976,2.194377857626829e-09
0.00012599999999999976,2.194377857626829e-09
0.00012699999999999975,2.1943778576268288e-09
0.00012799999999999975,2.1943778576268288e-09
0.00012899999999999975,2.194377857626829e-09
0.00012999999999999974,2.1943778576268288e-09
0.00013099999999999974,2.194377857626829e-09
0.00013199999999999974,2.1943778576268288e-09
0.00013299999999999974,2.1943778576268288e-09
0.00013399999999999973,2.1944395010876333e-09
0.00013499999999999973,2.1944395010876333e-09
0.00013599999999999973,2.1944395010876325e-09
0.00013699999999999973,2.1944395010876325e-09
0.00013799999999999972,2.194439501087634e-09
0.00013899999999999972,2.1944395010876354e-09
0.00013999999999999972,2.1944395010876337e-09
0.00014099999999999971,2.1944395010876333e-09
0.0001419999999999997,2.1944395010876345e-09
0.0001429999999999997,2.1944395010876333e-09
0.0001439999999999997,2.1944395010876333e-09
0.0001449999999999997,2.194439501087634e-09
0.0001459999999999997,2.1944395010876333e-09
0.0001469999999999997,2.1944395010876333e-09
0.0001479999999999997,2.1944395010876345e-09
0.0001489999999999997,2.1944395010876337e-09
0.0001499999999999997,2.1944395010876337e-09
0.00015099999999999969,2.194439501087634e-09
0.00015199999999999968,2.1944395010876333e-09
0.00015299999999999968,2.194439501087634e-09
0.00015399999999999968,2.1944395010876333e-09
0.00015499999999999967,2.1944395010876325e-09
0.00015599999999999967,2.1944395010876333e-09
0.00015699999999999967,2.1944395010876354e-09
0.00015799999999999967,2.194454091601936e-09
0.00015899999999999966,2.1944540916019364e-09
0.00015999999999999966,2.1944540916019364e-09
0.00016099999999999966,2.194454091601936e-09
0.00016199999999999966,2.1944540916019364e-09
0.00016299999999999965,2.1944540916019356e-09
0.00016399999999999965,2.1944540916019356e-09
0.00016499999999999965,2.1944540916019356e-09
0.00016599999999999964,2.1944540916019343e-09
0.00016699999999999964,2.194454091601936e-09
0.00016799999999999964,2.1944540916019356e-09
0.00016899999999999964,2.1944540916019348e-09
0.00016999999999999963,2.194454091601936e-09
