Time (s),Current (A)
0,-1.2495618120975058e-12
1e-06,-1.2495618120975058e-12
2e-06,3.0982260436954698e-21
3e-06,3.1442701530633945e-21
4e-06,5.334418906194414e-21
4.9999999999999996e-06,5.346290861442881e-21
5.999999999999999e-06,5.360970673855194e-21
6.999999999999999e-06,5.351809926438102e-21
8e-06,5.351809926438102e-21
9e-06,5.353608368383002e-21
1e-05,5.353608368383002e-21
1.1000000000000001e-05,5.353608368383002e-21
1.2000000000000002e-05,5.353608368383002e-21
1.3000000000000003e-05,5.360362326016564e-21
1.4000000000000003e-05,5.3610922936962365e-21
1.5000000000000004e-05,5.3510838310712726e-21
1.6000000000000003e-05,5.3510838310712726e-21
1.7000000000000003e-05,5.3510838310712726e-21
1.8000000000000004e-05,5.3510838310712726e-21
1.9000000000000004e-05,5.31848554014328e-21
2.0000000000000005e-05,5.31848554014328e-21
2.1000000000000006e-05,5.31848554014328e-21
2.2000000000000006e-05,5.31848554014328e-21
2.3000000000000007e-05,5.31848554014328e-21
2.4000000000000007e-05,5.31848554014328e-21
2.5000000000000008e-05,5.31848554014328e-21
2.600000000000001e-05,5.301993100775154e-21
2.700000000000001e-05,5.301993100775154e-21
2.800000000000001e-05,5.301993100775154e-21
2.900000000000001e-05,5.301993100775154e-21
3.000000000000001e-05,5.301993100775154e-21
3.100000000000001e-05,5.301993100775154e-21
3.2000000000000005e-05,5.301993100775154e-21
3.3e-05,5.301993100775154e-21
3.4e-05,5.301993100775154e-21
3.5e-05,5.301993100775154e-21
3.5999999999999994e-05,5.301993100775154e-21
3.699999999999999e-05,5.301993100775154e-21
3.799999999999999e-05,5.301993100775154e-21
3.8999999999999986e-05,5.301993100775154e-21
3.999999999999998e-05,5.301993100775154e-21
4.099999999999998e-05,5.3035599333675346e-21
4.199999999999998e-05,5.3035599333675346e-21
4.2999999999999975e-05,5.3035599333675346e-21
4.399999999999997e-05,5.30375120980168e-21
4.499999999999997e-05,5.30375120980168e-21
4.5999999999999966e-05,5.290672286178738e-21
4.699999999999996e-05,5.290672286178738e-21
4.799999999999996e-05,5.290672286178738e-21
4.899999999999996e-05,5.291534617306629e-21
4.9999999999999955e-05,5.291534617306629e-21
5.099999999999995e-05,5.291534617306629e-21
5.199999999999995e-05,5.291534617306629e-21
