Time (s),Current (A)
0,5.340665361741962e-19
1e-12,5.340665361741962e-19
2e-12,5.512242237265077e-19
3e-12,5.869470653881563e-19
4e-12,6.4158692779839825e-19
5e-12,7.098323002598873e-19
5.9999999999999995e-12,7.783457615893812e-19
6.999999999999999e-12,8.3228189072111045e-19
8e-12,8.660108214269728e-19
9e-12,8.832690423047862e-19
1e-11,8.843246422225552e-19
1.0999999999999999e-11,8.858661532135833e-19
1.1999999999999999e-11,8.87943841940621e-19
1.2999999999999999e-11,8.907252639461714e-19
1.3999999999999999e-11,8.943947303269882e-19
1.5e-11,8.989019744203199e-19
1.6e-11,9.043977962144198e-19
1.7e-11,9.108989512635377e-19
1.8e-11,9.187405506526802e-19
1.9e-11,9.28157172141351e-19
2e-11,9.413940599990913e-19
2.1e-11,9.656393469992816e-19
2.1999999999999998e-11,1.0137948099146558e-18
2.2999999999999998e-11,1.087452226398993e-18
2.3999999999999998e-11,1.1496991104388732e-18
2.4999999999999998e-11,1.1778149304708837e-18
2.5999999999999997e-11,1.1834615522532362e-18
2.6999999999999997e-11,1.18476848548476e-18
2.7999999999999997e-11,1.1875499074903104e-18
2.8999999999999997e-11,1.1866618631150443e-18
3e-11,1.1692360866947279e-18
3.1e-11,1.125889467849191e-18
3.2000000000000006e-11,1.0573424954111965e-18
3.300000000000001e-11,9.802334347512965e-19
3.400000000000001e-11,9.102622402020261e-19
3.5000000000000015e-11,8.5651042216705025e-19
3.600000000000002e-11,8.23284158088697e-19
3.700000000000002e-11,8.181066918253531e-19
3.8000000000000024e-11,8.195644250451295e-19
3.900000000000003e-11,8.243397580064662e-19
4.000000000000003e-11,8.326672684688674e-19
4.100000000000003e-11,8.415309566672783e-19
4.2000000000000036e-11,8.47077045124129e-19
4.300000000000004e-11,8.479818450536454e-19
4.400000000000004e-11,8.447480230833368e-19
4.5000000000000045e-11,8.418325566437838e-19
4.600000000000005e-11,8.394030012774897e-19
4.700000000000005e-11,8.374677347615796e-19
4.8000000000000054e-11,8.359346015476767e-19
4.900000000000006e-11,8.337898906036378e-19
5.000000000000006e-11,8.311341352549646e-19
5.100000000000006e-11,8.27246846668894e-19
5.2000000000000066e-11,8.233679358599486e-19
5.300000000000007e-11,8.1952253615950375e-19
5.400000000000007e-11,8.156603809048087e-19
5.5000000000000075e-11,8.117730923187381e-19
5.600000000000008e-11,8.078271592927914e-19
5.700000000000008e-11,8.038225818269687e-19
5.8000000000000084e-11,7.992399377395105e-19
5.900000000000008e-11,7.929649826727716e-19
6.000000000000008e-11,7.812193391433083e-19
6.100000000000007e-11,7.572170076797476e-19
6.200000000000007e-11,7.206647660827089e-19
6.300000000000007e-11,6.884019463737482e-19
6.400000000000006e-11,6.699708366984136e-19
6.500000000000006e-11,6.635869705290477e-19
6.600000000000006e-11,6.57487948781937e-19
6.700000000000005e-11,6.515732381315796e-19
6.800000000000005e-11,6.457674385838492e-19
6.900000000000005e-11,6.400537945844954e-19
7.000000000000004e-11,6.343820394707675e-19
7.100000000000004e-11,6.287856843511658e-19
7.200000000000004e-11,6.2294637369493485e-19
7.300000000000003e-11,6.157749964758046e-19
7.400000000000003e-11,6.066097083008882e-19
7.500000000000003e-11,5.956096869355635e-19
7.600000000000002e-11,5.826073768373275e-19
7.700000000000002e-11,5.695464222992153e-19
7.800000000000001e-11,5.584123564998882e-19
7.900000000000001e-11,5.501853793629889e-19
8.000000000000001e-11,5.42486202184974e-19
8.1e-11,5.342257139395741e-19
8.2e-11,5.255379590607914e-19
8.3e-11,5.168585819591338e-19
8.4e-11,5.086399825993596e-19
8.499999999999999e-11,5.00957560975595e-19
8.599999999999999e-11,4.943893837094759e-19
8.699999999999998e-11,4.881395619741124e-19
8.799999999999998e-11,4.824091624205084e-19
8.899999999999998e-11,4.771479183859128e-19
8.999999999999997e-11,4.723893409788264e-19
9.099999999999997e-11,4.676223857946149e-19
9.199999999999997e-11,4.6279678617052725e-19
9.299999999999996e-11,4.579376754379391e-19
9.399999999999996e-11,4.530450535968502e-19
9.499999999999996e-11,4.482529650812633e-19
